start,end
红石药业乳宁片,乳宁片
吉林长恒消炎利胆片,消炎利胆片
怀化正好抗宫炎片,抗宫炎片
星斗药业尼群地平片,尼群地平片
广东宏远药业琥乙红霉素颗粒,琥乙红霉素颗粒
贵州泰邦人血白蛋白,人血白蛋白
赛得,注射用生长抑素
杭州国光药业乳酸左氧氟沙星,乳酸左氧氟沙星滴眼液
新峰药业复方鱼腥草片,复方鱼腥草片
杏辉天力托吡卡胺滴眼液,托吡卡胺滴眼液
广州诺金屏风生脉胶囊,屏风生脉胶囊
天津和治友德枸橼酸铋钾颗粒,枸橼酸铋钾颗粒
沙溪鼻咽清毒颗粒,鼻咽清毒颗粒
益民堂制药胰胆舒胶囊,胰胆舒胶囊
闽海药业跳骨片,跳骨片
江西华太右旋糖酐铁片,右旋糖酐铁片
沈阳一药维生素C片,维生素C片
泰利必妥,氧氟沙星眼膏
敬修堂斑秃丸,斑秃丸
万通药业（梅河）小儿消咳片,小儿消咳片
信谊烟酸片,烟酸片
江西永昇生化维D2磷酸氢钙,维D2磷酸氢钙片
山西普德注射用盐酸溴己新,注射用盐酸溴己新
潍坊坊子中狮注射用盐酸尼莫,注射用盐酸尼莫司汀
深圳国盛源复合维生素B片,复合维生素B片
甘肃扶正贞芪扶正颗粒,贞芪扶正颗粒
螺内酯胶囊,螺内酯胶囊
林宝药业归芍活血胶囊,归芍活血胶囊
海南制药硫酸阿托品注射液,硫酸阿托品注射液
尼克美三磷酸腺苷二钠片,三磷酸腺苷二钠片
天津力生颠茄片,颠茄片
久正骨刺平片,骨刺平片
青岛国风注射用生长抑素,注射用生长抑素
沈阳一药氧氟沙星片,氧氟沙星片
多多乳酸菌素片,乳酸菌素片
天尊紫花烧伤膏,紫花烧伤膏
广东环球制药茶碱缓释片,茶碱缓释片
葵花宝宝小儿乳酸菌素片,小儿乳酸菌素片
延安常泰五子衍宗丸,五子衍宗丸
广东南国苯甲酸苄酯搽剂,苯甲酸苄酯搽剂
