start,end
石家康力药业桂利嗪片,桂利嗪片
民生盐酸羟甲唑啉喷雾剂,盐酸羟甲唑啉喷雾剂
通化金马消癌平片,消癌平片
彼迪药业替硝唑片,替硝唑片
绿叶消炎利胆软胶囊,消炎利胆软胶囊
嘉林羟基脲片,羟基脲片
江西杏林白马独一味颗粒,独一味颗粒
富露施,乙酰半胱氨酸泡腾片
美瑞制药酒石酸托特罗定缓释,酒石酸托特罗定缓释片
昆明龙津注射用生长抑素,注射用生长抑素
阿斯特拉爱尔兰他克莫司缓释,他克莫司缓释胶囊
广西济民制药清火栀麦片,清火栀麦片
马应龙药业硼酸软膏,硼酸软膏
普康药业辅酶Q10胶囊,辅酶Q10胶囊
新亚闵行单硝酸异山梨酯缓释,单硝酸异山梨酯缓释片
标准桃金娘油肠溶胶囊,成人装
成都第一复方四环素泼尼松膜,复方四环素泼尼松膜
注射用头孢噻肟钠,注射用头孢噻肟钠
惠普森穿心莲内酯片,穿心莲内酯片
安徽国森维生素E软胶囊,维生素E软胶囊
南通百益关节止痛膏,关节止痛膏
第一生物复方牛胎肝提取物片,复方牛胎肝提取物片
保定中药明目蒺藜丸,明目蒺藜丸
海神同洲阿奇霉素片,阿奇霉素片
山东仁和堂马来酸氯苯那敏片,马来酸氯苯那敏片
瑞阳制药复合维生素B片,复合维生素B片
思美泰,丁二磺酸腺苷蛋氨酸肠溶片
新亚闵行头孢泊肟酯片,头孢泊肟酯片
盛亚药业血尿胶囊,血尿胶囊
大唐冠心康胶囊,冠心康胶囊
上海旭东海普碘解磷定注射液,碘解磷定注射液
能气朗,辅酶Q10片
山东华信葡醛酸钠注射液,葡醛酸钠注射液
上海信谊肾上腺色腙片,肾上腺色腙片
哈药诺捷小儿暖脐膏,小儿暖脐膏
东北六药复方磺胺甲噁唑片,复方磺胺甲噁唑片
辽宁依生冻干人用狂犬病疫苗,Vero细胞
欣泽,盐酸拓扑替康胶囊
海口奇力盐酸左氧氟沙星胶囊,盐酸左氧氟沙星胶囊
珠海联邦注射用替卡西林钠克,注射用替卡西林钠克拉维酸钾
金陵浙江天峰右旋糖酐40葡,右旋糖酐40葡萄糖注射液
金柯制药消炎利胆片,消炎利胆片
易亨制药注射用单磷酸阿糖腺,注射用单磷酸阿糖腺苷
江西汪氏小柴胡颗粒,小柴胡颗粒
北京同仁堂生脉饮,生脉饮
华山牌臌症丸,臌症丸
浙江得恩德盐酸左氧氟沙星片,盐酸左氧氟沙星片
博宁,注射用帕米膦酸二钠
新亚注射用硫酸链霉素,注射用硫酸链霉素
江西国药十香丸,十香丸
长春长庆胸腺肽注射液,胸腺肽注射液
赛诺康复新液,康复新液
辰欣药业紫杉醇注射液,紫杉醇注射液
江苏中兴苯妥英钠片,苯妥英钠片
遂成药业克霉唑乳膏,克霉唑乳膏
吉春黄金轻身消胖丸,轻身消胖丸
安今益,雌二醇屈螺酮片
浙江康恩贝补中益气合剂,补中益气合剂
国瑞替硝唑氯化钠注射液,替硝唑氯化钠注射液
昆明中药乙肝扶正胶囊,乙肝扶正胶囊
南京白敬宇桂利嗪片,桂利嗪片
大政药业氧化樟脑注射液,氧化樟脑注射液
浙江康恩贝尿素乳膏,尿素乳膏
布特,氟芬那酸丁酯软膏
仁和堂盐酸多塞平片,盐酸多塞平片
海王福药黄体酮注射液,黄体酮注射液
万邦德制药枸橼酸钙片,枸橼酸钙片
白马药业裸花紫珠胶囊,裸花紫珠胶囊
南京易亨枸橼酸铋钾颗粒,枸橼酸铋钾颗粒
畅尔达,盐酸黄酮哌酯片
红丽来结合雌激素片,结合雌激素片
山东仁和堂氯氮平片,氯氮平片
兰州和盛堂当归腹痛宁滴丸,当归腹痛宁滴丸
亚宝药业阿司匹林肠溶片,阿司匹林肠溶片
雷允上封浜茴香橘核丸,茴香橘核丸
方舟制药复方斑蝥胶囊,复方斑蝥胶囊
普利制药积雪苷霜软膏,积雪苷霜软膏
万特力,吲哚美辛贴片
仁和堂非那雄胺片,非那雄胺片
济丰药业阿莫西林颗粒,阿莫西林颗粒
世福素,头孢克肟颗粒
河南帅克多索茶碱葡萄糖注射,多索茶碱葡萄糖注射液
陕西东泰翁沥通胶囊,翁沥通胶囊
全宇制药西咪替丁片,西咪替丁片
吉林百年六福堂马来酸氯苯那,马来酸氯苯那敏片
正清制药阿昔洛韦片,阿昔洛韦片
浙江康乐尼可刹米注射液,尼可刹米注射液
广西冠峰产妇康洗液,产妇康洗液
太原药业维生素B2片,维生素B2片
立业制药复方氯化钠滴眼液,复方氯化钠滴眼液
上海信谊利福平胶囊,利福平胶囊
泰利必妥,氧氟沙星片
康乐果肾炎四味胶囊,肾炎四味胶囊
痹祺痹祺胶囊,痹祺胶囊
莱恩药业尼可刹米注射液,尼可刹米注射液
萨典注射用头孢哌酮钠舒巴坦,注射用头孢哌酮钠舒巴坦钠
庆安威瑞斯乙酰谷酰胺注射液,乙酰谷酰胺注射液
上海静安贞芪扶正颗粒,贞芪扶正颗粒
中杰药业华法林钠片,华法林钠片
四川明欣维A酸乳膏,维A酸乳膏
同笑赖氨肌醇维B12口服溶,赖氨肌醇维B12口服溶液
嘉应双料喉风散,双料喉风散
惠普森注射用促肝细胞生长素,注射用促肝细胞生长素
九洋药业盐酸洛美沙星片,盐酸洛美沙星片
马鞍山丰原复方盐酸阿替卡因,复方盐酸阿替卡因注射液
西藏甘露七十味珍珠丸,七十味珍珠丸
赛克同,洛索洛芬钠片
湖南洞庭舒必利片,舒必利片
沈阳红药乳癖消片,乳癖消片
哈药三精千鹤根痛平胶囊,根痛平胶囊
南峰药业利胆片,利胆片
芙露饮,匹多莫德口服溶液
欧意维生素BT片,维生素BT片
赤峰蒙欣利巴韦林含片,利巴韦林含片
重庆市渝生过氧化氢溶液,过氧化氢溶液
天津力生制药醋酸地塞米松片,醋酸地塞米松片
福和华星红草止鼾胶囊,红草止鼾胶囊
天津力生制药盐酸异丙嗪片,盐酸异丙嗪片
金海堂盐酸左旋咪唑片,盐酸左旋咪唑片
诺欣生,盐酸纳曲酮片
博仕制药浓维磷糖浆,浓维磷糖浆
辅仁注射用头孢曲松钠,注射用头孢曲松钠
江苏通用药业甲硝唑氯化钠注,甲硝唑氯化钠注射液
新华制药葡萄糖酸锑钠注射液,葡萄糖酸锑钠注射液
抚松县中药连翘败毒片,连翘败毒片
吉春制药牛黄解毒丸,牛黄解毒丸
济南利民硝苯地平缓释片,Ⅱ
天天明制药更昔洛韦滴眼液,更昔洛韦滴眼液
同济堂制药盐酸左旋咪唑片,盐酸左旋咪唑片
辽源爱友肝复康丸,肝复康丸
东药盐酸左氧氟沙星注射液,盐酸左氧氟沙星注射液
北京同仁堂科技鹿角胶,鹿角胶
北海阳光药业左旋多巴片,左旋多巴片
江西南昌桑海妇康宝口服液,妇康宝口服液
费森尤斯卡比注射用硫酸长春,注射用硫酸长春新碱
泰华堂罗红霉素分散片,罗红霉素分散片
华润顺峰药业注射用盐酸罗哌,注射用盐酸罗哌卡因
如新乳宁片,乳宁片
乐普药业司帕沙星片,司帕沙星片
华润双鹤注射用硫普罗宁,注射用硫普罗宁
正大丰海盐酸托莫西汀胶囊,盐酸托莫西汀胶囊
格拉丹东药业调经祛斑胶囊,调经祛斑胶囊
深圳翰宇注射用缩宫素,注射用缩宫素
尼可刹米注射液,尼可刹米注射液
高邦曲咪新乳膏,曲咪新乳膏
石家庄华新药业格列吡嗪片,格列吡嗪片
黄河药业辛伐他汀片,辛伐他汀片
辽宁格林复方甲苯咪唑片,复方甲苯咪唑片
惠诺药业三磷酸腺苷二钠片,三磷酸腺苷二钠片
允康降脂减肥片,降脂减肥片
华润双鹤药业白消安片,白消安片
陕西中医学院八正合剂,八正合剂
丹东医创药业吡拉西坦注射液,吡拉西坦注射液
吉林吴太感康青霉素V钾片,青霉素V钾片
江西仁丰跌打损伤丸,跌打损伤丸
普奈新,注射用硫酸奈替米星
维阿堂复方卡力孜然酊,复方卡力孜然酊
津华晖星盐酸氟桂利嗪胶囊,盐酸氟桂利嗪胶囊
万乐药业注射用硫酸长春新碱,注射用硫酸长春新碱
吉林红石阿昔洛韦胶囊,阿昔洛韦胶囊
远大国奥安替可胶囊,安替可胶囊
贝克诺顿,呱西替柳干混悬剂
吉林省正和药业集团抑眩宁胶,抑眩宁胶囊
诺碧松,奥沙普秦肠溶胶囊
重庆东方药业金钱草颗粒,金钱草颗粒
白云山夏桑菊颗粒,夏桑菊颗粒
金世制药复方环磷酰胺片,复方环磷酰胺片
贵州苗一堂鼻通宁滴剂,鼻通宁滴剂
天圣制药补中益气丸,补中益气丸
汕头金石制药氧氟沙星片,氧氟沙星片
妍芷安妇炎康丸,妇炎康丸
哈药诺捷复方胆通胶囊,复方胆通胶囊
辰欣药业甘油氯化钠注射液,甘油氯化钠注射液
石家庄华新乙酰螺旋霉素片,乙酰螺旋霉素片
东北制药吡拉西坦注射液,吡拉西坦注射液
畅邦,盐酸替扎尼定片
东信药业益视颗粒,益视颗粒
绿金子药业枸橼酸喷托维林片,枸橼酸喷托维林片
东北制药奥美拉唑肠溶胶囊,奥美拉唑肠溶胶囊
广州白云山明兴注射用培美曲,注射用培美曲塞二钠
华普乐,高三尖杉酯碱氯化钠注射液
冯了性,知柏地黄丸
沈阳一药西沙必利片,西沙必利片
童俏俏小儿七星茶颗粒,小儿七星茶颗粒
西南药业硫酸阿托品注射液,硫酸阿托品注射液
利维爱,替勃龙片
云阳盐酸普萘洛尔片,盐酸普萘洛尔片
龙桂制药醒脑安神片,醒脑安神片
龙晖药业羧甲司坦片,羧甲司坦片
济生胰激肽原酶肠溶片,胰激肽原酶肠溶片
康缘药业散结镇痛胶囊,散结镇痛胶囊
华北制药辅酶Q10胶囊,辅酶Q10胶囊
天津太平洋甲硝唑片,甲硝唑片
江苏天士力西洛他唑片,西洛他唑片
珠海联邦阿莫西林舒巴坦匹酯,阿莫西林舒巴坦匹酯片
广东星昊注射用胰激肽原酶,注射用胰激肽原酶
999调经至宝丸,调经至宝丸
山东华信制药葛根素注射液,葛根素注射液
吉林敖东力源瓜霜退热灵胶囊,瓜霜退热灵胶囊
迪可罗,氧氟沙星滴眼液
山西太原芦丁片,芦丁片
速高捷小牛血去蛋白提取物眼,小牛血去蛋白提取物眼用凝胶
振东开元血尿胶囊,血尿胶囊
安徽新和成皖南硫软膏,硫软膏
同济堂制药氨甲环酸片,氨甲环酸片
三蓝药业安胎丸,安胎丸
良济药业妇肤康喷雾剂,妇肤康喷雾剂
北京东升冠心生脉丸,冠心生脉丸
华南药业利巴韦林含片,利巴韦林含片
山西诺成右旋糖酐20葡萄糖,右旋糖酐20葡萄糖注射液
成都倍特阿米卡星洗剂,阿米卡星洗剂
仁和闪亮氧氟沙星滴眼液,氧氟沙星滴眼液
济生甲状腺片,甲状腺片
太极集团喉症丸,喉症丸
彼迪药业肌苷片,肌苷片
黑龙江科伦曲克芦丁氯化钠注,曲克芦丁氯化钠注射液
大同云岗地巴唑片,地巴唑片
络泰灯银脑通胶囊,灯银脑通胶囊
桂林三金复方红根草片,复方红根草片
白云山明兴细胞色素C注射液,细胞色素C注射液
明仁颈痛片,颈痛片
东信药业阿昔洛韦乳膏,阿昔洛韦乳膏
新霉素氟轻松乳膏,新霉素氟轻松乳膏
广西邦琪小儿麻甘颗粒,小儿麻甘颗粒
泽通,注射用托拉塞米
天津金耀集团酚磺乙胺注射液,酚磺乙胺注射液
cspc盐酸雷尼替丁胶囊,盐酸雷尼替丁胶囊
鹏鹞硫糖铝咀嚼片,硫糖铝咀嚼片
午时药业保和丸,保和丸
江苏祥瑞盐酸二甲双胍缓释片,盐酸二甲双胍缓释片
天津亚宝药业复合维生素B片,复合维生素B片
华润赛科药业羟基脲片,羟基脲片
信谊黄河维生素C片,维生素C片
片仔癀复方片仔癀软膏,复方片仔癀软膏
太极集团茵芪肝复颗粒,茵芪肝复颗粒
湖北百科亨迪多维元素片,21
通化金马骨刺消痛胶囊,骨刺消痛胶囊
博可保,甲钴胺片
南国药业马来酸氯苯那敏片,马来酸氯苯那敏片
醋酸可的松片,醋酸可的松片
吉林吉春硝酸咪康唑乳膏,硝酸咪康唑乳膏
江西天之海维生素E软胶囊,维生素E软胶囊
辉南辉发麝香接骨胶囊,麝香接骨胶囊
手心制药羧甲淀粉钠溶液,羧甲淀粉钠溶液
运佳黄浦甲紫溶液,甲紫溶液
格罗特明阿奇霉素片,阿奇霉素片
山西仟源注射用盐酸甲氯芬酯,注射用盐酸甲氯芬酯
山东润泽注射用头孢曲松钠,注射用头孢曲松钠
华北制药吡嗪酰胺片,吡嗪酰胺片
山西晋新双鹤黄体酮注射液,黄体酮注射液
青岛海汇胰岛素注射液,胰岛素注射液
海南制药二厂肝素钠注射液,肝素钠注射液
可尔生,盐酸克林霉素棕榈酸酯颗粒
杭州民生甘油氯化钠注射液,甘油氯化钠注射液
核力源素豆腐果苷片,豆腐果苷片
天圣制药贝诺酯片,贝诺酯片
通化振霖蛋氨酸重酒石酸胆碱,蛋氨酸重酒石酸胆碱片
吉通药业痔速宁片,痔速宁片
依普比善,醋酸奥曲肽注射液
尼扶平,注射用己酮可可碱
元和利肝隆颗粒,利肝隆颗粒
常药盐酸普罗帕酮片,盐酸普罗帕酮片
天圣制药小儿咽扁颗粒,小儿咽扁颗粒
长春海外喉舒宁胶囊,喉舒宁胶囊
丽珠利民桂利嗪片,桂利嗪片
大陆药业酚磺乙胺注射液,酚磺乙胺注射液
山东齐都多索茶碱葡萄糖注射,多索茶碱葡萄糖注射液
迪沙药业赖氨葡锌颗粒,赖氨葡锌颗粒
百琦药业前列癃闭通片,前列癃闭通片
山西迈迪复方消痔栓,复方消痔栓
广东元宁制药肾石通颗粒,肾石通颗粒
山东新华聚卡波非钙片,聚卡波非钙片
武汉爱民维生素B6注射液,维生素B6注射液
人工牛黄甲硝唑胶囊,人工牛黄甲硝唑胶囊
鹏鹞药业宁心宝胶囊,宁心宝胶囊
美克威,盐酸米诺环素胶囊
汉力达汉防己甲素片,汉防己甲素片
悦兴药业维生素K1注射液,维生素K1注射液
秦巴药业克林霉素磷酸酯注射,克林霉素磷酸酯注射液
华佗国药麝香接骨胶囊,麝香接骨胶囊
人人康药业复方樟脑乳膏,复方樟脑乳膏
上海医药利胆排石片,利胆排石片
香连药业肾石通颗粒,肾石通颗粒
山西太原维生素C片,维生素C片
民生奥美拉唑肠溶胶囊,奥美拉唑肠溶胶囊
衡山药业熊去氧胆酸片,熊去氧胆酸片
诺欣,顺铂注射液
一片天医药消炎利胆片,消炎利胆片
福美欣他克莫司胶囊,他克莫司胶囊
吉林精鑫藻酸双酯钠片,藻酸双酯钠片
烟台东诚北方注射用左卡尼汀,注射用左卡尼汀
五洲通药业硝酸咪康唑乳膏,硝酸咪康唑乳膏
古田药业土霉素片,土霉素片
达力新,头孢呋辛酯胶囊
本色祛白酊,祛白酊
湖北东信聚维酮碘栓,聚维酮碘栓
信谊甲硫酸新斯的明注射液,甲硫酸新斯的明注射液
卫喜康,琥珀酸索利那新片
芬必得布洛芬缓释胶囊,布洛芬缓释胶囊
黑龙江百泰乙酰螺旋霉素片,乙酰螺旋霉素片
北京同仁堂芎菊上清丸,芎菊上清丸
湖北康正克林霉素磷酸酯凝胶,克林霉素磷酸酯凝胶
陕西渭南华仁盐酸妥洛特罗片,盐酸妥洛特罗片
南宁金马注射用头孢噻肟钠,注射用头孢噻肟钠
青海晶珠鸦胆子油口服乳液,鸦胆子油口服乳液
海神同洲独一味软胶囊,独一味软胶囊
湖北四环盐酸芦氟沙星胶囊,盐酸芦氟沙星胶囊
普德药业注射用达卡巴嗪,注射用达卡巴嗪
美东遗尿停胶囊,遗尿停胶囊
海尔斯尿素维E乳膏,尿素维E乳膏
西安利君氢化可的松片,氢化可的松片
天目药业杜仲颗粒,杜仲颗粒
新和成药业醋酸曲安奈德尿素,醋酸曲安奈德尿素软膏
德康制药伤科七味片,伤科七味片
长征富民金山甘油氯化钠注射,甘油氯化钠注射液
仲景天王补心丸,天王补心丸
海王福药地塞米松磷酸钠注射,地塞米松磷酸钠注射液
太平风油精,风油精
黑龙江济仁药业前列安通胶囊,前列安通胶囊
桂林华润天和关节止痛膏,关节止痛膏
石药欧意甲硝唑芬布芬胶囊,甲硝唑芬布芬胶囊
宝光妇乐颗粒,妇乐颗粒
华龙注射用胸腺五肽,注射用胸腺五肽
恩华药业碳酸锂缓释片,碳酸锂缓释片
陕西天洋龙胆泻肝丸,龙胆泻肝丸
百益制药水杨酸苯酚贴膏,水杨酸苯酚贴膏
发茂森除脂生发片,除脂生发片
上海长征富民甘露醇注射液,甘露醇注射液
江西药都樟树白带丸,白带丸
万正药业盐酸艾司洛尔注射液,盐酸艾司洛尔注射液
哈尔滨东方肝喜乐片,肝喜乐片
金鸡复方猴头颗粒,复方猴头颗粒
仁济制药布洛芬片,布洛芬片
吉林四环脑苷肌肽注射液,脑苷肌肽注射液
瑞素,TP
广州白云山光华复方甲苯咪唑,复方甲苯咪唑片
重庆迪康长江肌苷注射液,肌苷注射液
诺安盐酸环丙沙星滴眼液,盐酸环丙沙星滴眼液
盛翔制药蛇胆川贝液,蛇胆川贝液
汉晨药业双氯芬酸钠滴眼液,双氯芬酸钠滴眼液
江苏康缘阿仑膦酸钠片,阿仑膦酸钠片
深圳翰宇注射用生长抑素,注射用生长抑素
浙江亚太乙酰唑胺片,乙酰唑胺片
江西制药氟哌啶醇片,氟哌啶醇片
金象制药复明胶囊,复明胶囊
天津生物化学注射用降纤酶,注射用降纤酶
辉南辉发注射用降纤酶,注射用降纤酶
星佳定甲钴胺片,甲钴胺片
开封制药氢化可的松注射液,氢化可的松注射液
山姆士药业盐酸左氧氟沙星胶,盐酸左氧氟沙星胶囊
重庆赛诺辛芳鼻炎胶囊,辛芳鼻炎胶囊
北京同仁堂茴香橘核丸,茴香橘核丸
碑林药业金嗓散结丸,金嗓散结丸
上海中药济泰片,济泰片
通化百信补金片,补金片
浙江佐力乙酰螺旋霉素片,乙酰螺旋霉素片
寿如松氢化可的松片,氢化可的松片
湘江药业蒙脱石散,蒙脱石散
山西德元堂贞芪扶正颗粒,贞芪扶正颗粒
新亚注射用果糖二磷酸钠,注射用果糖二磷酸钠
天津金耀硫酸镁注射液,硫酸镁注射液
海天制药血府逐瘀片,血府逐瘀片
兴源制药盐酸二甲双胍片,盐酸二甲双胍片
大连华立金港吡拉西坦注射液,吡拉西坦注射液
上海安丁藻酸双酯钠片,藻酸双酯钠片
江西保利安胎丸,安胎丸
荆州金海甲硝唑维B6片,甲硝唑维B6片
南京白敬宇酮康唑胶囊,酮康唑胶囊
乐松,洛索洛芬钠片
博祥药业利心丸,利心丸
沈阳一药奥美拉唑肠溶胶囊,奥美拉唑肠溶胶囊
山西亨瑞达利巴韦林含片,利巴韦林含片
湖北康正硝酸咪康唑乳膏,硝酸咪康唑乳膏
吉春制药擦癣药水,擦癣药水
武汉长联来福注射用酚磺乙胺,注射用酚磺乙胺
蒙药阿拉坦五味丸,阿拉坦五味丸
创诺制药紫杉醇注射液,紫杉醇注射液
21金维他,21
辽宁海康恩复方水杨酸甲酯苯,复方水杨酸甲酯苯海拉明喷雾剂
中孚药业乙酰谷酰胺注射液,乙酰谷酰胺注射液
南国药业呋塞米注射液,呋塞米注射液
大理白族自治州中药利胆排石,利胆排石片
易舒特药业牛磺酸滴眼液,牛磺酸滴眼液
江西济民可信水牛角浓缩粉,水牛角浓缩粉
成都平原药业葡萄糖注射液,葡萄糖注射液
信龙解痉镇痛酊,解痉镇痛酊
通化兴华苯妥英钠片,苯妥英钠片
华仁堂药业氟轻松维B6乳膏,氟轻松维B6乳膏
河南天方硫唑嘌呤片,硫唑嘌呤片
沈阳同联颠茄片,颠茄片
禾丰布美他尼注射液,布美他尼注射液
恒瑞制药妥布霉素地塞米松滴,妥布霉素地塞米松滴眼液
松鹿制药乌龙养血胶囊,乌龙养血胶囊
高邦制药复方醋酸地塞米松乳,复方醋酸地塞米松乳膏
心脑欣片,心脑欣片
锦华药业肝苏胶囊,肝苏胶囊
鹏鹞药业卡马西平片,卡马西平片
丽珠制药注射用尿激酶,注射用尿激酶
湖南中南五氟利多片,五氟利多片
北京同仁堂乳核内消液,乳核内消液
典必殊,妥布霉素地塞米松滴眼液
浙江仙琚盐酸罗哌卡因注射液,盐酸罗哌卡因注射液
云南永安制药小儿麻甘颗粒,小儿麻甘颗粒
格拉丹东药业愈伤灵胶囊,愈伤灵胶囊
丽珠集团多潘立酮片,多潘立酮片
南京白敬宇盐酸普罗帕酮片,盐酸普罗帕酮片
南京恒生盐酸艾司洛尔注射液,盐酸艾司洛尔注射液
金丐醋酸钙颗粒,醋酸钙颗粒
仁源堂益视颗粒,益视颗粒
云岗制药甲氧氯普胺片,甲氧氯普胺片
广州一品红注射用单磷酸阿糖,注射用单磷酸阿糖腺苷
太极桐君阁茴香橘核丸,茴香橘核丸
茂祥制药甲氨蝶呤片,甲氨蝶呤片
奥邦甘露聚糖肽口服溶液,甘露聚糖肽口服溶液
哈尔滨三联药业紫杉醇注射液,紫杉醇注射液
西藏甘露二十五味松石丸,二十五味松石丸
白山市长白山人工牛黄甲硝唑,人工牛黄甲硝唑胶囊
世福素,头孢克肟胶囊
西安方兴谷丙甘氨酸胶囊,谷丙甘氨酸胶囊
丹东医创盐酸金刚烷胺颗粒,盐酸金刚烷胺颗粒
山东良福维胺酯胶囊,维胺酯胶囊
海悦药业胰岛素注射液,胰岛素注射液
齐鲁制药羟基脲片,羟基脲片
成都菊乐硬脂酸红霉素片,硬脂酸红霉素片
力源制药清热消炎宁片,清热消炎宁片
鼎恒升豆腐果苷片,豆腐果苷片
翔通药业硼酸软膏,硼酸软膏
合肥利民制药氧氟沙星滴眼液,氧氟沙星滴眼液
蜀阳药业骨苓通痹丸,骨苓通痹丸
碑林药业金嗓散结颗粒,金嗓散结颗粒
七O七天然制药金胆片,金胆片
信谊盐酸倍他司汀片,盐酸倍他司汀片
斯皮仁诺,伊曲康唑胶囊
适迪,盐酸西替利嗪片
天津力生碘化钾片,碘化钾片
台城制药土霉素片,土霉素片
甘露坐珠达西,坐珠达西
同安维C银翘片,维C银翘片
瑞年前进制药氯氮平片,氯氮平片
山东康宁药业碳酸氢钠注射液,碳酸氢钠注射液
迪诺制药丹曲林钠胶囊,丹曲林钠胶囊
海南制药氨茶碱片,氨茶碱片
参归堂参归润燥搽剂,参归润燥搽剂
正大青春宝宁心宝胶囊,宁心宝胶囊
乐仁堂通脉养心丸,通脉养心丸
天洋制药木香顺气丸,木香顺气丸
新赣江药业腰息痛胶囊,腰息痛胶囊
奇星药业清热散结片,清热散结片
大冢制药谷维素片,谷维素片
金陵制药螺内酯片,螺内酯片
辰欣药业牛磺酸滴眼液,牛磺酸滴眼液
广东彼迪芦笋菠萝蛋白酶胶囊,芦笋菠萝蛋白酶胶囊
广州白云山和记黄埔中药鼻炎,鼻炎宁颗粒
西安海欣二维钙赖氨酸片,二维钙赖氨酸片
中一前列通片,前列通片
兰陵制药硫酸镁注射液,硫酸镁注射液
天劲制药强骨生血口服液,强骨生血口服液
白鹿制药银黄口服液,银黄口服液
安徽新和成皖南哈西奈德溶液,哈西奈德溶液
慧谷药业利巴韦林颗粒,利巴韦林颗粒
吉林省华侨药业集团宁心宝胶,宁心宝胶囊
正大天晴复方甘草酸单铵注射,复方甘草酸单铵注射液
九芝堂保和丸,保和丸
容生制药地塞米松磷酸钠注射,地塞米松磷酸钠注射液
普华克胜氧氟沙星滴眼液,氧氟沙星滴眼液
奥邦盐酸特比萘芬片,盐酸特比萘芬片
山西仟源医药注射用盐酸甲氯,注射用盐酸甲氯芬酯
联环药业碳酸锂片,碳酸锂片
天津博爱夏枯草膏,夏枯草膏
华仁药业甘油果糖氯化钠注射,甘油果糖氯化钠注射液
南少林药业乙酰谷酰胺注射液,乙酰谷酰胺注射液
罗欣药业注射用盐酸头孢替安,注射用盐酸头孢替安
广东环球制药七叶神安片,七叶神安片
金创强肝糖浆,强肝糖浆
白云山复方醋酸地塞米松乳膏,复方醋酸地塞米松乳膏
康都制药黄体酮注射液,黄体酮注射液
润邦药业盐酸左氧氟沙星片,盐酸左氧氟沙星片
北海阳光硫糖铝咀嚼片,硫糖铝咀嚼片
力生制药盐酸普萘洛尔片,盐酸普萘洛尔片
石药集团永丰药业,防风通圣丸
恒健制药利福平胶囊,利福平胶囊
凯威制药维生素D2注射液,维生素D2注射液
大连水产三维鱼肝油乳,三维鱼肝油乳
吉林辉南长龙生化注射用甲氨,注射用甲氨蝶呤
方舟复方斑蝥胶囊,复方斑蝥胶囊
北京曙光卡马西平片,卡马西平片
仁丰药业全鹿丸,全鹿丸
重庆佳辰复方肝浸膏片,复方肝浸膏片
江苏神龙葡萄糖氯化钠注射液,葡萄糖氯化钠注射液
昆明中药蒲公英颗粒,蒲公英颗粒
建生药业金龙胶囊,金龙胶囊
上海现代哈森亚硫酸氢钠甲萘,亚硫酸氢钠甲萘醌注射液
河北万通金牛金牛眼药,金牛眼药
陕西香菊香菊片,香菊片
吉特药业天麻胶囊,天麻胶囊
亚宝药业曲克芦丁片,曲克芦丁片
宛西制药天王补心丸,天王补心丸
三益无极膏,无极膏
凯程制药复方铝酸铋片,复方铝酸铋片
南国药业阿托品异丙嗪注射液,阿托品异丙嗪注射液
海普辅酶Q10胶囊,辅酶Q10胶囊
阿房宫药业三七伤药片,三七伤药片
鲁贝,注射用奈达铂
山西普德硫酸西索米星注射液,硫酸西索米星注射液
利群药业盐酸普罗帕酮片,盐酸普罗帕酮片
健朗星,奥拉西坦胶囊
援生制药复方氨基酸注射液,15AA
一片天医药小青龙颗粒,小青龙颗粒
川抗制药环孢素口服溶液,环孢素口服溶液
宁通,酒石酸托特罗定片
茂祥制药环磷酰胺片,环磷酰胺片
济仁堂复方石韦胶囊,复方石韦胶囊
国瑞莪术油注射液,莪术油注射液
同盟药业葛根素注射液,葛根素注射液
山苏,单硝酸异山梨酯胶囊
广东三才石岐谷维素片,谷维素片
络泰血塞通软胶囊,血塞通软胶囊
美百乐镇,普伐他汀钠片
济源济世药业明目地黄丸,明目地黄丸
广东逢春生化丸,生化丸
正清制药利巴韦林片,利巴韦林片
武汉双龙肾炎四味胶囊,肾炎四味胶囊
沈阳圣元双氯芬酸钠滴眼液,双氯芬酸钠滴眼液
百派五子衍宗片,五子衍宗片
双成药业注射用生长抑素,注射用生长抑素
湖南中和维生素AD滴剂,维生素AD滴剂
绿叶宝光药业妇乐颗粒,妇乐颗粒
贵阳德昌祥冰硼咽喉散,冰硼咽喉散
大隆舒眠胶囊,舒眠胶囊
得舒特,匹维溴铵片
沈阳志鹰氯化钠注射液,氯化钠注射液
纽兰药业小青龙合剂,小青龙合剂
博康健制药盐酸氨溴索葡萄糖,盐酸氨溴索葡萄糖注射液
广东隆赋注射用单磷酸阿糖腺,注射用单磷酸阿糖腺苷
浙江亚太盐酸普罗帕酮片,盐酸普罗帕酮片
上海复华药业硝酸异山梨酯片,硝酸异山梨酯片
河南华峰骨刺消痛胶囊,骨刺消痛胶囊
冯了性,杞菊地黄丸
晶明更昔洛韦滴眼液,更昔洛韦滴眼液
哥台,盐酸洛美沙星滴耳液
仁盛制药三黄片,三黄片
广西日田复方丹参片,复方丹参片
广东嘉应消炎利胆片,消炎利胆片
天生制药水牛角浓缩粉,水牛角浓缩粉
哈药三精制药诺捷复方胆通胶,复方胆通胶囊
甲硝唑片,甲硝唑片
奇比特,盐酸丁螺环酮片
山东方明硝苯地平片,硝苯地平片
同达药业乙酰螺旋霉素片,乙酰螺旋霉素片
五景药业盐酸胺碘酮片,盐酸胺碘酮片
山西黄河麝香接骨胶囊,麝香接骨胶囊
振东开元舒肝和胃丸,舒肝和胃丸
